Date;NESTLE;ROCHE;NOVARTIS;UBS;ABB;ZURICH;RICHEMONT;SIKA;GIVAUDAN;ALCON;PARTNERS;HOLCIM;SWISS RE;SWISSCOM;GEBERIT;SGS;SWISS LIFE;LOGITECH
01.01.2010;6249.33;1618.89;4770.55;1148.58;1885.6;1872.75;2112.05;8184.18;199.83;NA;169.67;2495.09;1996.73;184.88;713.3;1179.92;132.52;929.5
02.01.2010;6311.57;1650.2;4833.88;1016.91;1843.99;1922.36;2267.13;8361.55;211.43;NA;174.09;2290.52;1908.31;182.41;737.4;1191.28;135.93;933.65
03.01.2010;6716.16;1675.98;5087.18;1072.01;2088.91;2160.48;2299.36;7738.23;213.85;NA;177.85;2239.38;1926.31;173.76;717.57;1274.25;138.44;868.33
04.01.2010;6697.49;1627.15;4958.42;1270.96;2205.23;2265.49;2529.84;9121.69;229.67;NA;196.82;2470.29;2108.34;180.4;744.39;1345.74;140.55;904.1
05.01.2010;6758.95;1590.04;4787.89;1219.43;1989.62;2095.14;2442.27;10072.07;236.1;NA;187.73;2536.93;1916.46;179.75;736.62;1278.46;133.12;924.32
06.01.2010;6778.2;1525.33;4578.01;1098.49;1871.42;2086.36;2304.22;9413.39;222.5;NA;179.39;2322.02;1915.24;181.53;704.71;1311.19;122.58;852.78
07.01.2010;6572.8;1392.12;4459.96;1003.31;1757.94;2063.53;2168;9615.66;224.36;NA;175.1;2214.61;1786.41;180.29;676.12;1306.64;103.11;738.21
08.01.2010;6662.67;1303.62;4529.91;1295.29;2094.83;2180.32;2512.21;10372.88;241.79;NA;199.52;2235.14;1986.99;194.83;704.31;1363.93;114.93;875.59
09.01.2010;6900.16;1333.12;4726.68;1275.97;1967.67;2059.14;2508.56;9418.57;245.25;NA;193.07;1991.88;1774.59;195.28;674.91;1413.03;111.54;806.64
10.01.2010;6714.02;1290.3;4892.84;1192.24;2024.94;2025.77;2850.26;9423.76;246.24;NA;218.43;1961.87;1750.54;195.43;700.69;1441.22;114.01;881.29
11.01.2010;6938.67;1389.26;5010.89;1189.38;1986.11;2125;3035.99;10113.56;251.68;NA;246.88;1991.88;1930.32;202.72;771.56;1454.86;125.1;971.5
12.01.2010;7079.89;1316.94;4739.8;1107.08;1914.28;2028.41;3420.31;10497.36;252.17;NA;233.33;2086.66;1935.62;202.67;831.97;1541.24;116.68;1039.93
01.01.2011;7092.73;1301.72;4849.11;1114.95;2059.89;2150.46;3389.66;10855.22;251.18;NA;234.13;2258.84;2099.51;203.61;881.9;1446.67;141.12;906.69
02.01.2011;6630.57;1374.99;4652.35;1241.62;2159.87;2294.47;3175.13;11005.63;235.48;NA;222.73;2102.45;2240.15;208.44;806.6;1426.67;163;936.24
03.01.2011;6765.37;1330.27;4843.32;1294.57;2193.85;2356.81;3306.91;10601.09;229.92;NA;222.73;2157.74;2305.38;202.33;812.23;1481.23;156.43;904.62
04.01.2011;6784.63;1332.75;4565.13;1197.25;2215.21;2306.76;3276.27;11379.05;237.17;NA;238.16;2206.71;2219.77;205.04;825.52;1591.9;158.17;723.18
05.01.2011;7191.23;1416.6;4679.14;1223.73;2287.04;2295.84;3435.64;11685.18;244.01;NA;248.09;2396.26;2194.28;206.44;844.24;1611.82;161.97;612.76
06.01.2011;7264.34;1481.49;4929.98;1172.2;2247.07;2117.36;3377.4;11420.33;236.54;NA;231.22;2163.71;2170.62;202.55;842.99;1580.51;145.03;565.58
07.01.2011;6991.84;1408.62;4715.63;1122.82;2193.28;2012.15;3389.66;10800.58;229.07;NA;207.91;2060.44;2069.51;200.11;824.74;1507.47;144.41;511.67
08.01.2011;6679.47;1413.61;4423.75;938.19;1890.49;1765.09;3129.16;9818.63;218.57;NA;206.8;1749.04;1906.44;197.04;772.47;1457.18;124.92;393.47
09.01.2011;6652.89;1429.58;4286.94;834.42;1699.25;1692.76;2828.19;9467.59;194.4;NA;192.18;1644.16;1813.51;188.37;693.65;1425.88;116.09;455.68
10.01.2011;6666.18;1465.52;4638.1;722.07;1545.86;1740.67;2531.9;8536.79;180.35;NA;206.94;1660.29;1817.81;191.95;700.28;1333.86;105.03;377.92
11.01.2011;6752.58;1418.6;4487.6;762.86;1591.68;1803.6;2931.19;8754.86;199.46;NA;220.32;1689.34;1958.93;180.89;729.32;1403.11;111.41;425.61
12.01.2011;6845.63;1470.51;4542.33;785.05;1701.24;1905.06;3024.04;8951.66;214.39;NA;233.15;1660.29;2094.03;178.61;716.46;1477.11;98.8;382.07
01.01.2012;7177.94;1589.31;4898.05;800.07;1761;1996.18;2941.09;9414.4;226.54;NA;226.12;1621.57;2059.61;184.79;750.9;1475.21;91.94;380.25
