Maturity;Mar 2022;Apr 23;Apr 26
3 months;-0.732963;2.883686;2.149195
6 months;-0.725742;3.039865;2.271523
9 months;-0.711294;3.088665;2.352975
1 year;-0.691243;3.075606;2.406552
2 years;-0.578585;2.836982;2.491294
3 years;-0.449209;2.637989;2.527649
4 years;-0.326976;2.537884;2.578895
5 years;-0.220241;2.501171;2.648456
6 years;-0.130363;2.498025;2.728828
7 years;-0.055869;2.511096;2.813067
8 years;0.005594;2.530985;2.896506
9 years;0.056411;2.552639;2.976345
10 years;0.098679;2.573343;3.051027
11 years;0.13412;2.591666;3.119761
12 years;0.164111;2.606897;3.182227
13 years;0.189729;2.618747;3.238387
14 years;0.211814;2.62717;3.288374
15 years;0.231022;2.632267;3.332419
16 years;0.247864;2.634218;3.370813
17 years;0.262743;2.633252;3.403876
18 years;0.275978;2.629613;3.431941
19 years;0.287825;2.623557;3.455343
20 years;0.29849;2.615332;3.474412
21 years;0.308141;2.605178;3.489467
22 years;0.316915;2.593323;3.500814
23 years;0.324927;2.579979;3.508745
24 years;0.332271;2.565343;3.513535
25 years;0.339028;2.549597;3.515447
26 years;0.345265;2.532906;3.514724
27 years;0.35104;2.515421;3.511596
28 years;0.356402;2.497279;3.506278
29 years;0.361395;2.478604;3.498969
30 years;0.366055;2.459508;3.489856
