Date;Stocks;Treasuries;CorpBonds;RealEstate;Rf
29.01.1993;0.0103;0.0112;0.0233;0.005;0.0072
26.02.1993;0.0818;0.0256;0.023;0.0067;0.0072
31.03.1993;0.0133;0.0066;0.0035;0.0093;0.0069
30.04.1993;-0.0209;0.0002;0.0077;0.0044;0.0065
31.05.1993;0.0108;0.0043;0.0012;0.0032;0.0065
30.06.1993;0.0453;0.0126;0.0243;0.0051;0.0065
30.07.1993;0.0741;0.0123;0.0072;0.0072;0.0059
31.08.1993;0.0701;0.0172;0.0249;0.0107;0.0058
30.09.1993;-0.0247;0.0103;0.0024;0.0064;0.0057
29.10.1993;0.0578;0.0158;0.005;0.0077;0.0055
30.11.1993;-0.0237;0.0083;-0.0123;0.0068;0.0054
31.12.1993;0.0825;0.0133;0.0059;0.0049;0.0052
31.01.1994;0.0169;0.0002;0.0194;0.0018;0.0051
28.02.1994;-0.0414;-0.0201;-0.0236;0.0017;0.0051
31.03.1994;-0.0205;0.0015;-0.0307;0.001;0.0048
29.04.1994;0.0472;-0.0072;-0.0096;0.0031;0.0046
31.05.1994;-0.039;-0.0052;-0.0037;0.006;0.0043
30.06.1994;-0.0495;0.0037;-0.0025;0;0.0042
29.07.1994;0.0742;0.0067;0.0253;0.0098;0.0042
31.08.1994;0.0181;-0.0075;0.0011;0.0019;0.0042
30.09.1994;-0.0657;-0.0078;-0.0186;0.008;0.0042
31.10.1994;0.0224;0.0065;-0.0023;0.0021;0.0042
30.11.1994;-0.0027;0.0107;-0.0016;0.0035;0.0044
30.12.1994;-0.0013;-0.0064;0.0083;0.0023;0.0043
31.01.1995;-0.0173;0.016;0.0212;0.0035;0.0042
28.02.1995;0.0141;0.0116;0.0288;0.0065;0.0042
31.03.1995;-0.0095;0.0208;0.0082;0.0089;0.0039
28.04.1995;0.0386;0.0129;0.0169;0.0031;0.0039
31.05.1995;0.0356;0.0245;0.0471;0.0038;0.0038
30.06.1995;-0.0046;-0.0124;0.009;0.0028;0.0038
31.07.1995;0.0573;0.0139;-0.0044;0.0066;0.0038
31.08.1995;-0.0007;0.0123;0.0161;0.0054;0.0036
29.09.1995;-0.0067;0.0095;0.0118;0.0124;0.0034
31.10.1995;-0.008;0.0145;0.013;0.0039;0.0034
30.11.1995;0.0346;0.0196;0.0191;0.0053;0.0034
29.12.1995;0.0363;0.0127;0.0165;0.0043;0.0032
31.01.1996;0.0704;0.0117;0.0065;0.0023;0.0029
29.02.1996;-0.0084;-0.0159;-0.0238;0.0014;0.0028
29.03.1996;0.0109;0.0039;-0.0085;0.004;0.0028
30.04.1996;0.0394;0.0128;-0.0083;0.0038;0.0028
31.05.1996;0.0117;0.0002;-0.0018;0.0019;0.0028
28.06.1996;0.0005;-0.0039;0.0147;-0.0016;0.0028
31.07.1996;-0.042;0.0132;0.0019;0.0068;0.0028
30.08.1996;0.0078;0.0082;-0.0031;0.0037;0.0026
30.09.1996;0.0608;0.0162;0.0212;0.0051;0.0026
31.10.1996;0.0042;0.0081;0.0273;0.0044;0.0026
