Maturity;Apr 26
3 months;2.149195
6 months;2.271523
9 months;2.352975
1 year;2.406552
2 years;2.491294
3 years;2.527649
4 years;2.578895
5 years;2.648456
6 years;2.728828
7 years;2.813067
8 years;2.896506
9 years;2.976345
10 years;3.051027
11 years;3.119761
12 years;3.182227
13 years;3.238387
14 years;3.288374
15 years;3.332419
16 years;3.370813
17 years;3.403876
18 years;3.431941
19 years;3.455343
20 years;3.474412
21 years;3.489467
22 years;3.500814
23 years;3.508745
24 years;3.513535
25 years;3.515447
26 years;3.514724
27 years;3.511596
28 years;3.506278
29 years;3.498969
30 years;3.489856
